source_id,canonical_name,domain,origin,official_url,citation,media_type,provided_labels,human_annotation_type,dataset_size_claimed,downloaded_item_count,downloaded_bytes,access_method,code_license,dataset_annotation_license,underlying_media_rights,redistribution_status,commercial_use_status_if_explicit,terms_access_notes,version,timestamp,status,reason,media_acquired_count,locally_paired_records,paired_note,supersedes_note,media_category_scene_photograph,media_category_crop_image,correction_02_note
src_konvid1k,KoNViD-1k,real_natural_video (Flickr/YFCC100M),"MMSP / VQA Group, Universitat Konstanz",https://database.mmsp-kn.de/konvid-1k-database.html,"Hosu et al., QoMEX 2017",video,"subjective quality MOS + per-video blur/colourfulness/contrast/SI/TI/VNIQE (KoNViD_1k_attributes.csv, KoNViD_1k_mos.csv)",crowdsourced subjective quality study,"1,200 videos, 8s each, ~2.3 GB",1200,2412945110,"public direct download, ungated: https://datasets.vqa.mmsp-kn.de/archives/KoNViD_1k_videos.zip . No login/form/cookie. robots.txt absent on the file host; the database host does not disallow the KoNViD-1k page.",n/a,not_stated,not_verified. Official page describes sources as Creative Commons video from YFCC100M but names no variant. The distributed metadata contains flickr_id but NO per-video licence field — checked directly. Per-item CC status therefore unresolved.,not_stated - treat as NOT permitted,not_stated,"Acquired under RES-001 clarification 6/7: public, ungated, no explicit term prohibiting download, internal research/evaluation only. flickr_id is present, so a future rights review could resolve per-video CC status against Flickr if a use beyond internal evaluation is ever proposed. PRIVACY: the distributor's KoNViD_1k_subjective.csv shipped crowdworker IP addresses, worker IDs and city/region/country. DELETED 24 Aug 2026 under explicit Controller approval (RES-002 finalization item 5); no redacted copy kept. Aggregate MOS (KoNViD_1k_mos.csv) and per-video technical attributes are retained and contain no personal data. See resources/reports/RES-002-privacy-deletion-log.md.",full public release,2026-08-24,downloaded,"Public, ungated, no explicit prohibition. Rights not_stated and recorded as such. Provides the only large real human-made media in the pilot.",,,,,,,
src_youtube_ugc,YouTube-UGC,real_ugc_video (YouTube creators),Google / YouTube Media Algorithms,https://media.withyoutube.com/,"Wang, Inguva, Adsumilli, MMSP 2019 (arXiv:1904.06457)",video,"no-reference quality metrics published separately (Noise, Banding, SLEEQ); subjective MOS in follow-up work",subjective quality study (separate release),"~1,500 clips; bucket holds 1,070 video keys / 4,922 objects",5,855146670,"public Google Cloud Storage bucket `ugc-dataset`, anonymous HTTP, ungated. Anonymous XML listing returns HTTP 200. NOT retrieved from youtube.com - no YouTube endpoint touched, so YouTube's robots.txt/ToS restrictions on /get_video are not engaged.",n/a,see media licence,"EXPLICIT AND VERIFIED. gs://ugc-dataset/LICENSE is a Creative Commons Public License. gs://ugc-dataset/ATTRIBUTION names each clip's original work, author and states 'licensed under CC BY 4.0'. Clips are audio-removed excerpts of CC BY 4.0 YouTube videos.",CC BY 4.0 permits redistribution with attribution; we do not redistribute,CC BY 4.0 does not restrict commercial use (licence text read directly),"Best-documented source in the pilot: explicit licence AND per-item attribution. LICENSE and ATTRIBUTION retained alongside the media. Selection is deterministic and content-blind: within the 360P tier, the first clip of each distributor-defined category in sorted order, until the source byte budget. Rate-limited, sequential, 1s delay.","360P tier, one clip per category, bounded sample",2026-08-24,partial_download,"Explicitly CC BY 4.0, ungated, official Google distribution. Bounded sample only because original pre-transcode files are 0.06-5 GB each.",,,,,,,
src_imagerewarddb,ImageRewardDB,generated_image_preference,"Zhipu/THUDM (ImageReward, NeurIPS 2023)",https://huggingface.co/datasets/zai-org/ImageRewardDB,"Xu et al., ImageReward, NeurIPS 2023",image,expert pairwise comparisons; separate alignment / fidelity / harmlessness ratings,expert human annotation,"137k expert comparisons; images/ tree = 23.7 GB (train 21.4, test 1.18, validation 1.13)",2584,1125610808,"public HuggingFace, anonymous, ungated. NOTE: THUDM/ImageRewardDB now HTTP 307-redirects to zai-org/ImageRewardDB (org rename) - the URL printed in CORPUS-SOURCING-PLAN.md era references is stale.",MIT (stated),apache-2.0 (stated on dataset card),not_verified beyond the publisher's assertion. Images collected from DiffusionDB (Stable Diffusion generations). Publisher asserts apache-2.0 over the dataset.,apache-2.0 permits redistribution; we do not redistribute,not_stated explicitly; apache-2.0 imposes no use restriction,"Subset rule is the distributor's own COMPLETE validation split, taken whole - so no selection judgement of ours enters the corpus at all. Full dataset far exceeds the RES-001 budget.",official validation split (validation_1.zip + validation_2.zip),2026-08-24,partial_download,"Apache-2.0, ungated. Only source separating evaluation dimensions, closest public analogue to our technical-vs-creative split.",,,,,,,
src_videofeedback,VideoFeedback (VideoScore),generated_video_human_scores,TIGER-Lab,https://huggingface.co/datasets/TIGER-Lab/VideoFeedback,"VideoScore / VideoFeedback, TIGER-Lab",video,"visual quality, temporal consistency, dynamic degree, text-to-video alignment, factual consistency (1-4)","human raters, multi-aspect",card claims 37.6k pairs / 8.81 GB; the media repo's main revision exposes 987 mp4 files totalling 0.18 GB - the discrepancy is unexplained and recorded as observed,987,181560342,"public HuggingFace, anonymous, ungated. Annotations at TIGER-Lab/VideoFeedback; media at hexuan21/VideoFeedback-videos-mp4.",not_stated,apache-2.0 (stated on both repos),not_verified beyond the publisher's assertion. AI-generated video from multiple text-to-video models plus some real-world video as augmentation; the card names neither the source models nor which items are the real-world portion.,apache-2.0 permits redistribution; we do not redistribute,not_stated explicitly; apache-2.0 imposes no use restriction,No subset rule needed: every mp4 addressable on the media repo's main revision was taken. Temporal-consistency labels are the relevant axis for the cross-frame observation-unit problem.,all mp4 on main revision,2026-08-24,downloaded,"Apache-2.0, ungated, fits budget whole.",,,,,,,
src_videogen_rewardbench,VideoGen-RewardBench,generated_video_pairwise_preference,KwaiVGI / Kling team,https://huggingface.co/datasets/KlingTeam/VideoGen-RewardBench,"VideoAlign, NeurIPS 2025",video,"pairwise preference: visual quality, motion quality, temporal alignment, overall","expert annotators, pairwise","25,234 rows; videos.zip = 13.42 GB",288,782604215,"public HuggingFace, anonymous, ungated. KwaiVGI/... 307-redirects to KlingTeam/... .",not_stated,apache-2.0 (stated),"not_verified beyond the publisher's assertion. Video generated by 12 named models (CogVideoX, kling, kling1.5, qingying, gen3, minimax, vidu, tongyi, luma, luma1.6, opensora1.2, easyanimatev4). Whether a third party can licence outputs of commercial generators is not established.",apache-2.0 permits redistribution; we do not redistribute,not_stated explicitly; apache-2.0 imposes no use restriction,"STATUS CHANGED IN RES-002 from too_large_for_pilot to partial_download. RES-001 concluded a bounded subset was impossible because the media ship as one 13.42 GB videos.zip. That conclusion was WRONG: a zip stores its index at the end of the file, the host answers HTTP 206 (range requests), and so the member list can be read and individual members fetched by byte offset. The full archive was never downloaded or staged on disk. Reading the entire index cost 0.5 MB in 4 range requests (0.004% of the archive); acquiring 288 selected members brought total transfer to 0.78 GB (5.8%). Selection is 24 files per distributor-defined generator folder across all 12 generators, sorted order within each - equal representation rather than first-N, which would have over-represented whichever generator sorts first. Human preference labels retained in videogen-rewardbench.csv. No full-archive SHA256 is recorded because the archive was never downloaded; fabricating one would be dishonest. Reproduction metadata in _transient_acquisition.json.","288 members, 24 per generator x 12 generators (transient member-level acquisition)",2026-08-24,partial_download,"Apache-2.0, ungated, host honours HTTP range. Member-level acquisition made the 12-generator diversity available at 5.8% of the archive transfer and zero long-term archive storage.",,,,,,,
src_bstd_devanagari,Bharat Scene Text Dataset - Devanagari subset,real_scene_text_devanagari,Bhashini / IIT Jodhpur,https://github.com/Bhashini-IITJ/BharatSceneTextDataset,arXiv:2511.23071,image,"per-image ground-truth transcription (Unicode) + language label, in train/test_recognition_data.json","manual annotation - polygon boxes, transcription, script","6,582 scene images / 126,292 words across 12 languages; recognition.zip = 829,120,510 bytes",25246,201386592,"public creator-published Google Drive link, no login. Anonymous requests get Google's standard large-file 'Virus scan warning' interstitial, which asks for no credential/account/agreement - JUDGEMENT CALL flagged in the Controller Brief.",not_stated,not_stated for annotations,repo states images are under Creative Commons cc-by-sa-4.0. Annotation/transcription licence not stated -> not_verified.,cc-by-sa-4.0 permits redistribution with share-alike for the images; annotation terms unstated; we do not redistribute,cc-by-sa-4.0 does not restrict commercial use for the images; annotations not_stated,"TRANSIENT acquisition: the 0.83 GB archive was downloaded to temporary staging, only Devanagari members extracted, archive deleted after validation (sha256 159fb044fba701f87e41a98b679a5da8c4dadd07727a2a5de72bb9d4f2c13036 recorded first). Selection rule = UNION of (a) language label == hindi and (b) transcription contains a Devanagari codepoint. Rule (b) matters: Marathi is written in Devanagari and a language filter alone would have missed ~5,100 target-script images. 351 further images labelled as other languages also carry Devanagari text - the language label is NOT a reliable proxy for script.","Devanagari subset, 25,246 of 106,490 archive members",2026-08-24,partial_download,"Largest Devanagari pool acquired: real photographed signage with human transcriptions, which is what checker calibration needs.",,,,,,,
src_indicstr12_devanagari,IndicSTR12 - Devanagari subset,real_scene_text_devanagari,"CVIT, IIIT Hyderabad",https://cvit.iiit.ac.in/research/projects/cvit-projects/indicstr,"Lunia et al., IndicSTR12, ICDAR 2023 (arXiv:2403.08007)",image,"TWO kinds of file, corrected 25 Aug 2026 - see supersedes_note. (a) 375 FULL SCENE PHOTOGRAPHS, each with a per-image *_gt.txt in tab-separated format: region index, 8 polygon coordinates, Unicode transcription - ONE LINE PER TEXT REGION. Photographs carry 1-98 annotated regions each (median 4, mean 7.2, 2,711 regions total). (b) 2,711 PRE-CROPPED single-word images under cropped_images/. These carry their OWN dedicated transcription file - verified_twice__<lang>__cropped_images__word_image_gt.txt, tab-separated crop-filename + transcription, 2,711 entries covering 100% of the crops. Independently, each crop filename also encodes its parent photo, region index and the same 8 polygon coordinates, which resolves to the same transcription via the parent's scene *_gt.txt. Both routes agree on all 2,711.",manual annotation,">27,000 word images across 12 languages; real.zip = 1,382,967,649 bytes; synthetic companion 62,692,393,572 bytes NOT acquired",3086,90314024,"public direct download link on the CVIT project page, no login/form. Host honours HTTP 206. robots.txt disallows Joomla system paths but not /images/datasets/.",not_stated,not_stated,not_stated / not_verified. Photographs of real signage; no rights statement on the project page.,not_stated - treat as NOT permitted,not_stated,"Member-level range acquisition: transferred 112 MB of a 1.38 GB archive (8.1%); archive never staged on disk, so no full-archive hash is recorded. Selection = the distributor's hindi/ and marathi/ folders, the two Devanagari-script languages, plus their *_gt.txt files. The 62 GB synthetic companion was deliberately not acquired: RES-002 states clean synthetic text alone is insufficient for calibration.","Devanagari subset, 3,465 of 31,242 real members",2026-08-24,partial_download,"Second Devanagari collection, independent of BSTD. NOT independent of IIIT-ILST: both are CVIT / IIIT Hyderabad releases and 173 files are byte-identical across the two (5.6% of this source, 12.4% of IIIT-ILST). Verified by SHA256, see the integrity report.",3086,375,"MUTUALLY EXCLUSIVE MEDIA CATEGORIES, exhaustive over acquired media: 375 scene_photograph + 2,711 crop_image = 3,086 media files acquired. Asserted disjoint and exhaustive by resources/scripts/verify_devanagari_composition.py. A scene_photograph is a full photograph carrying its own region-level *_gt.txt (equivalently, a 'locally paired image + annotation record' in Eval's terms) - 375 of 3,086 = 12.2%. A crop_image is a single-word image under the distributor's cropped_images/ directory. Annotation files are NOT media and are counted separately (378 .txt files). SEPARATE STATISTIC, not a media category: 2,711 of 2,711 crop images (100%) resolve to a transcription, by either of two independent routes that agree completely.","SUPERSEDED WORDING, preserved deliberately rather than erased. This record previously read: 'cropped word images with Unicode labels in per-image *_gt.txt'. That was wrong in a specific way: cropped word images do exist and are the majority of the files, but they are NOT the things the *_gt.txt files label. The *_gt.txt files describe the 375 full scene photographs, one line per region. Correction requested by Eval in eval/PROPOSED-INTEGRATION-CHANGE-EVAL-003-RESOURCES.md and independently reverified by Resources against the manifest and the files on disk. See resources/reports/RES-CORRECTION-01-indicstr12-composition.md.",375,2711,"COUNT CORRECTION, 25 Aug 2026. An earlier version of this record and its verifier reported 2,713 crop images, which did not reconcile with 3,086 acquired media (375+2,713=3,088). Root cause: the crop detector matched on filename pattern without filtering to media extensions, so it also counted two ANNOTATION files - verified_twice__hindi__cropped_images__word_image_gt.txt and the marathi equivalent. Those are the crop-level ground-truth files, not images. The true crop_image count is 2,711 and the partition now reconciles exactly. No media changed; only the classification of two text files."
src_iiit_ilst_devanagari,IIIT-ILST - Devanagari subset,real_scene_text_devanagari,"CVIT, IIIT Hyderabad",https://cvit.iiit.ac.in/research/projects/cvit-projects/iiit-ilst,"Mathew, Jain, Jawahar, ICDAR MOCR Workshop 2017 (arXiv:2104.04437)",image,"Same two-part structure as IndicSTR12. (a) 176 FULL SCENE PHOTOGRAPHS with a per-image PASCAL-VOC style .xml carrying one <object> per text region - bounding box plus Unicode transcription. 1-64 regions each (median 8, 1,788 regions total). (b) 1,214 pre-cropped single-word images. A distributor-supplied list, IIIT-ILST__Devanagari__cropped__Devanagari__WordImagesList.txt, maps 1,150 of them to a transcription; independently, 1,210 resolve by matching the bounding box in the crop filename against the parent scene XML. The union covers 1,213 of 1,214 (99.9%); exactly one crop resolves by neither route and is named in the verifier output. The original wording 'bounding boxes and transcriptions' was accurate but did not distinguish scene photographs from crops.",manual annotation,"~1,000 real images per script across Devanagari/Telugu/Malayalam; IIIT-ILST.zip = 638,566,321 bytes",1390,52769595,"public direct download link on the CVIT project page, no login/form. Host honours HTTP 206.",not_stated,not_stated,not_stated / not_verified. Photographs of real signage; no rights statement on the project page.,not_stated - treat as NOT permitted,not_stated,"OVERLAPS IndicSTR12 - TWO VALID DENOMINATORS, both true, same numerator: (1) 173 of 1,390 ACQUIRED images = 12.4%, the correct figure for the source as a whole; (2) 173 of 176 SCENE PHOTOGRAPHS = 98.3%, which is specifically the overlap rate among photographs carrying their own sidecar annotation: only 3 IIIT-ILST scene photographs are unique relative to IndicSTR12. This is NOT a claim that crop images are unscoreable - they are scoreable: 1,213 of 1,214 IIIT-ILST crops (99.9%) and 2,711 of 2,711 IndicSTR12 crops resolve to a transcription. The BYTE-LEVEL overlap sits entirely in the scene photographs; no crop image is byte-identical across the two sources. Further, all 173 shared photographs are exactly IndicSTR12's complete Hindi-labelled scene set (173 of 173), so the smaller dataset's Devanagari scene folder is effectively the larger dataset's Hindi scene folder. CONTENT-LEVEL CAVEAT verified by Resources: 1,205 of this source's 1,214 crops (99.3%) are derived from photographs shared with IndicSTR12. They are not byte-identical, so hash-based deduplication does NOT flag them, but they depict the same regions of the same photographs. So crop-level independence is separately compromised even though the crop files differ. Taken together - 98.3% scene-photograph overlap plus 99.3% crop-parent reuse - IndicSTR12 and IIIT-ILST should be treated as ONE SOURCE LINEAGE for holdout and independence purposes. BSTD remains the genuine cross-lineage reserve. Member-level range acquisition of the distributor's Devanagari/ folder plus README.txt. All 1,569 members verified present at their exact central-directory sizes with matching SHA256. NOTE: the recorded bytes_transferred_total for this source undercounts - a first attempt failed partway with HTTP/2 framing errors from this host and the rerun skipped members already on disk. The figure is left as measured rather than replaced with an estimate; see _transient_acquisition.json.","Devanagari subset, 1,569 of 4,847 real members",2026-08-24,partial_download,"Third Devanagari collection, with a different annotation format (XML boxes+transcriptions). NOT independent of IndicSTR12: 173 of this source's 1,390 items (12.4%) are byte-identical to IndicSTR12 items. Both come from CVIT / IIIT Hyderabad. Independent of BSTD.",1390,176,"MUTUALLY EXCLUSIVE MEDIA CATEGORIES, exhaustive over acquired media: 176 scene_photograph + 1,214 crop_image = 1,390 media files acquired. Asserted disjoint and exhaustive by resources/scripts/verify_devanagari_composition.py. A scene_photograph is a full photograph with its own PASCAL-VOC .xml (equivalently a 'locally paired image + annotation record') - 176 of 1,390 = 12.7%. Annotation files are NOT media and are counted separately (176 .xml). SEPARATE STATISTIC, not a media category: 1,213 of 1,214 crop images (99.9%) resolve to a transcription; 1 resolves by neither available route.",,176,1214,"COUNT CORRECTION, 25 Aug 2026. An earlier version reported 1,215 crop images, which did not reconcile with 1,390 acquired media (176+1,215=1,391). Root cause: the crop detector matched on filename pattern without filtering to media extensions, so it also counted the annotation file IIIT-ILST__Devanagari__cropped__Devanagari__WordImagesList.txt. The true crop_image count is 1,214 and the partition now reconciles exactly. No media changed; only the classification of one text file."
src_pvp,Personalized Visual Persuasion (PVP),persuasion_image_ratings,holi-lab / Seoul National University,https://huggingface.co/datasets/holi-lab/PVP,ACL 2025; arXiv:2506.00481,image,"9 persuasion strategies, persuasiveness ratings, annotator demographics and psychological traits","2,521 human annotators","28,454 images, 596 messages, 20 topics",0,0,GATED. HuggingFace API reports gated: auto on holi-lab/PVP - login plus terms acceptance required even though approval is automatic.,MIT (GitHub repository code),not_stated,not_verified. Paper describes images as partly DALL-E generated and partly sourced via Google Image Search; the web-sourced portion carries third-party copyright with no stated clearance.,not_stated,not_stated,"Reassessed under clarification 6/7 and still blocked - the blocker is an ACCESS GATE, which clarification 6 does not waive. Separately checked holi-lab/visual_persuasion (ungated): it contains only faithfulness annotations and train_data JSON, NO images, so it is not the PVP media distribution. Per clarification 2, not substituted. Earlier note retained: a web search asserted the DATASET is MIT-licensed; that is the repository CODE licence and was not accepted.",n/a,2026-08-24,blocked_access,Gated (login + terms acceptance). Not crossable. Licence silence was never the operative blocker.,,,,,,,
src_ava,AVA (Aesthetic Visual Analysis),real_photography_aesthetics,"Murray et al., CVPR 2012",http://www.vabs.info/papers/AVA/,"Murray, Marchesotti, Perronnin, CVPR 2012",image,"aesthetic ratings (~210 per image), 66 semantic labels, 14 style labels",photo-contest community voting,"~255,000 images",0,0,Authors distribute image lists and annotations only - no media. The only routes are scraping dpchallenge.com or an academic torrent.,n/a,not_stated,EXPLICITLY RESERVED. dpchallenge.com states: 'All digital photo copyrights belong to the photographers and may not be used without permission.',explicitly prohibited by site terms,not_stated for photographs; reproduction prohibited regardless,"Reassessed under clarification 6/7 and now blocked on STRONGER grounds than before. dpchallenge.com/terms.php explicitly prohibits: 'use a robot, spider or other device or process to monitor the activity on or copy pages from the DPChallenge.com Web Site'; 'You may not reproduce or distribute any information available from the Website, electronically or otherwise. You shall not store or aggregate such information in any manner'; and deep-linking to images. robots.txt does not blanket-disallow (the User-agent:* block is commented out) but the terms of service do. Torrent route remains out of scope.",n/a,2026-08-24,blocked_license,"Explicit site terms prohibit robots, reproduction and aggregation; photographers' copyright expressly reserved. Clarification 6 does not permit proceeding despite an explicit restriction.",,,,,,,
